user_id,page_views,add_to_cart,purchase,use_count,days_to_first_use,days_since_last_use,年龄,职业,性别,使用频率（次/周）,主要使用时间,使用时间段
293.0,1,0,0,0,4.0,60.0,22,大学生,女,4,20:00-21:30,18:00-20:00
291.0,1,0,0,0,6.0,360.0,15,初中生,男,6,20:30-22:00,19:00-22:00
289.0,1,0,0,0,6.0,12.0,50,教师,女,3,20:30-22:00,12:00-14:00
358.0,1,1,0,0,5.0,75.0,15,初中生,男,7,17:00-19:00,18:00-21:00
333.0,1,0,0,0,5.0,242.0,14,初中生,男,6,19:00-21:00,19:00-22:00
280.0,1,1,0,0,2.0,56.0,14,初中生,男,5,17:00-19:00,18:00-21:00
139.0,1,0,0,0,6.0,270.0,22,大学生,男,4,20:00-21:30,20:00-23:00
232.0,1,0,0,0,5.0,220.0,20,大学生,女,4,19:00-21:00,18:00-20:00
239.0,1,1,0,0,1.0,0.0,13,初中生,男,6,17:00-19:00,18:00-21:00
451.0,1,1,1,1,7.0,80.0,15,初中生,女,7,17:00-19:00,19:00-22:00
110.0,1,0,0,0,2.0,82.0,17,高中生,男,7,17:00-19:00,18:00-21:00
304.0,1,0,0,0,0.0,312.0,18,高中生,女,6,17:00-19:00,19:00-22:00
322.0,1,0,0,0,0.0,100.0,35,教培机构人员,女,1,20:00-21:30,12:00-14:00
425.0,1,0,0,0,4.0,196.0,14,初中生,男,5,20:30-22:00,18:00-21:00
157.0,1,0,0,0,2.0,72.0,15,初中生,男,5,20:00-21:30,19:00-22:00
476.0,1,0,0,0,5.0,324.0,17,高中生,女,6,20:00-21:30,18:00-21:00
412.0,1,0,0,0,5.0,60.0,12,初中生,男,5,9:00-11:00,19:00-22:00
270.0,1,0,0,0,4.0,468.0,56,教师,男,2,20:00-21:30,07:00-09:00
303.0,1,0,0,0,3.0,9.0,21,大学生,女,5,20:30-22:00,20:00-23:00
227.0,1,0,0,0,5.0,364.0,37,销售经理,男,1,9:00-11:00,07:00-09:00
269.0,1,1,0,0,4.0,90.0,43,运营人员,男,4,9:00-11:00,20:00-22:00
120.0,1,0,0,0,6.0,140.0,13,初中生,男,5,15:00-17:00,19:00-22:00
434.0,1,0,0,0,3.0,110.0,18,高中生,男,5,20:30-22:00,18:00-21:00
171.0,1,1,1,0,6.0,90.0,12,初中生,女,7,20:00-21:30,18:00-21:00
399.0,1,0,0,0,0.0,156.0,15,高中生,男,6,17:00-19:00,19:00-22:00
89.0,1,0,0,0,6.0,168.0,14,初中生,男,5,20:00-21:30,19:00-22:00
119.0,1,1,0,0,6.0,110.0,15,初中生,女,5,19:00-21:00,19:00-22:00
375.0,1,0,0,0,2.0,246.0,42,产品经理,女,4,9:00-11:00,07:00-09:00
29.0,1,1,1,1,5.0,48.0,26,教师,男,1,19:00-21:00,07:00-09:00
202.0,1,0,0,0,2.0,180.0,22,大学生,女,6,17:00-19:00,18:00-20:00
353.0,1,1,1,1,7.0,264.0,18,高中生,男,6,15:00-17:00,19:00-22:00
359.0,1,1,1,1,2.0,33.0,20,大学生,女,6,9:00-11:00,18:00-20:00
484.0,1,1,0,0,6.0,57.0,31,教师,女,1,20:00-21:30,07:00-09:00
464.0,1,1,1,1,0.0,72.0,15,高中生,女,5,9:00-11:00,19:00-22:00
325.0,1,1,0,0,2.0,159.0,15,初中生,女,5,20:00-21:30,19:00-22:00
142.0,1,1,0,0,7.0,300.0,22,大学生,女,4,20:00-21:30,20:00-23:00
174.0,1,0,0,0,1.0,46.0,18,大学生,男,3,17:00-19:00,18:00-20:00
70.0,1,1,1,1,7.0,84.0,15,高中生,女,5,17:00-19:00,19:00-22:00
362.0,1,0,0,0,5.0,66.0,12,初中生,女,7,15:00-17:00,18:00-21:00
195.0,1,0,0,0,6.0,121.0,58,教培机构人员,男,1,20:00-21:30,07:00-09:00
310.0,1,0,0,0,0.0,216.0,35,教培机构人员,女,4,19:00-21:00,12:00-14:00
281.0,1,0,0,0,3.0,33.0,32,自由职业者,女,1,19:00-21:00,20:00-22:00
278.0,1,0,0,0,3.0,128.0,13,初中生,男,6,20:00-21:30,19:00-22:00
405.0,1,0,0,0,5.0,115.0,21,大学生,男,4,9:00-11:00,18:00-20:00
114.0,1,1,0,0,0.0,176.0,16,高中生,男,5,20:00-21:30,19:00-22:00
162.0,1,0,0,0,2.0,72.0,17,高中生,女,5,20:00-21:30,18:00-21:00
273.0,1,1,1,1,0.0,86.0,46,教培机构人员,女,3,17:00-19:00,07:00-09:00
